"ID_LOG","TIMESTAMP_DECISAO","COMANDO_BOMBA","FONTE_DECISAO","CONDICAO_METEO_DESC","UMIDADE_AR_API","TEMPERATURA_API","ID_TEMPO_API"
449,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
450,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
451,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
452,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
453,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
454,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
455,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
456,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
457,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
458,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
459,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
460,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
461,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
462,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
463,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
464,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
465,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
466,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
467,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
468,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
469,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
470,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
471,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
472,23/05/25,"DESLIGAR_BOMBA","API OpenWeather","Céu limpo",78,21,4,"800"
